"id","presente","id_vereador","id_sessao","timestamp"
3871,true,43,188,2019-11-26 23:17:29
3872,true,43,189,2019-11-26 23:17:29
3873,true,43,190,2019-11-26 23:17:29
3874,true,43,191,2019-11-26 23:17:29
3875,true,43,192,2019-11-26 23:17:29
3876,true,43,193,2019-11-26 23:17:29
3877,true,43,194,2019-11-26 23:17:29
3878,true,44,1,2019-11-26 23:17:29
3879,true,44,2,2019-11-26 23:17:29
3880,true,44,3,2019-11-26 23:17:29
3881,true,44,4,2019-11-26 23:17:29
3882,true,44,5,2019-11-26 23:17:29
3883,true,44,7,2019-11-26 23:17:29
3884,true,44,8,2019-11-26 23:17:29
3885,true,44,9,2019-11-26 23:17:29
3886,true,44,10,2019-11-26 23:17:29
3887,true,44,11,2019-11-26 23:17:29
3888,true,44,13,2019-11-26 23:17:29
3889,true,44,20,2019-11-26 23:17:29
3890,true,44,21,2019-11-26 23:17:29
3891,true,44,22,2019-11-26 23:17:29
3892,true,44,23,2019-11-26 23:17:29
3893,true,44,26,2019-11-26 23:17:29
3894,true,44,27,2019-11-26 23:17:29
3895,true,44,28,2019-11-26 23:17:29
3896,true,44,29,2019-11-26 23:17:29
3897,true,44,31,2019-11-26 23:17:29
3898,true,44,32,2019-11-26 23:17:29
3899,true,44,33,2019-11-26 23:17:29
3900,true,44,34,2019-11-26 23:17:29
3901,true,44,35,2019-11-26 23:17:29
3902,true,44,36,2019-11-26 23:17:29
3903,true,44,37,2019-11-26 23:17:29
3904,true,44,38,2019-11-26 23:17:29
3905,true,44,39,2019-11-26 23:17:29
3906,true,44,43,2019-11-26 23:17:29
3907,true,44,45,2019-11-26 23:17:29
3908,true,44,46,2019-11-26 23:17:29
3909,true,44,47,2019-11-26 23:17:29
3910,true,44,48,2019-11-26 23:17:29
3911,true,44,49,2019-11-26 23:17:29
3912,true,44,50,2019-11-26 23:17:29
3913,true,44,58,2019-11-26 23:17:30
3914,true,44,59,2019-11-26 23:17:30
3915,true,44,63,2019-11-26 23:17:30
3916,true,44,64,2019-11-26 23:17:30
3917,true,44,65,2019-11-26 23:17:30
3918,true,44,90,2019-11-26 23:17:30
3919,true,44,66,2019-11-26 23:17:30
3920,true,44,68,2019-11-26 23:17:30
3921,true,44,69,2019-11-26 23:17:30
3922,true,44,70,2019-11-26 23:17:30
3923,true,44,71,2019-11-26 23:17:30
3924,true,44,72,2019-11-26 23:17:30
3925,true,44,73,2019-11-26 23:17:30
3926,true,44,74,2019-11-26 23:17:30
3927,true,44,75,2019-11-26 23:17:30
3928,true,44,76,2019-11-26 23:17:30
3929,true,44,78,2019-11-26 23:17:30
3930,true,44,79,2019-11-26 23:17:30
3931,true,44,80,2019-11-26 23:17:30
